StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q13_1,Q13_2,Q13_3,Q13_4,Q13_4_TEXT,Q14_1,Q14_2,Q14_3,Q14_4,Q14_4_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_4_TEXT,Q17_1,Q17_2,Q17_3,Q17_3_TEXT,Q18#1_1,Q18#2_1,Q29#1_1,Q29#2_1,Q30#1_1,Q30#2_1,Q31#1_1,Q31#2_1,Q32#1_1,Q32#2_1,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36#1_1,Q36#2_1,Q37#1_1,Q37#2_1,Q38#1_1,Q38#2_1,Q39#1_1,Q39#2_1,Q40#1_1,Q40#2_1,Q41#1_1,Q41#2_1,Q42#1_1,Q42#2_1,Q43#1_1,Q43#2_1,Q44#1_1,Q44#2_1,Q45#1_1,Q45#2_1,Q46#1_1,Q46#2_1,Q47#1_1,Q47#2_1,Q48#1_1,Q48#2_1,Q34_0_GROUP,Q34_1_GROUP,Q34_2_GROUP,Q34_0_1_RANK,Q34_0_2_RANK,Q34_0_3_RANK,Q34_0_4_RANK,Q34_0_5_RANK,Q34_0_6_RANK,Q34_0_7_RANK,Q34_0_8_RANK,Q34_0_9_RANK,Q34_0_10_RANK,Q34_0_11_RANK,Q34_0_12_RANK,Q34_0_13_RANK,Q34_0_14_RANK,Q34_0_15_RANK,Q34_0_16_RANK,Q34_0_17_RANK,Q34_0_18_RANK,Q34_0_19_RANK,Q34_0_20_RANK,Q34_0_21_RANK,Q34_1_1_RANK,Q34_1_2_RANK,Q34_1_3_RANK,Q34_1_4_RANK,Q34_1_5_RANK,Q34_1_6_RANK,Q34_1_7_RANK,Q34_1_8_RANK,Q34_1_9_RANK,Q34_1_10_RANK,Q34_1_11_RANK,Q34_1_12_RANK,Q34_1_13_RANK,Q34_1_14_RANK,Q34_1_15_RANK,Q34_1_16_RANK,Q34_1_17_RANK,Q34_1_18_RANK,Q34_1_19_RANK,Q34_1_20_RANK,Q34_1_21_RANK,Q34_2_1_RANK,Q34_2_2_RANK,Q34_2_3_RANK,Q34_2_4_RANK,Q34_2_5_RANK,Q34_2_6_RANK,Q34_2_7_RANK,Q34_2_8_RANK,Q34_2_9_RANK,Q34_2_10_RANK,Q34_2_11_RANK,Q34_2_12_RANK,Q34_2_13_RANK,Q34_2_14_RANK,Q34_2_15_RANK,Q34_2_16_RANK,Q34_2_17_RANK,Q34_2_18_RANK,Q34_2_19_RANK,Q34_2_20_RANK,Q34_2_21_RANK,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q32,Q7,Q9,Q11,Q11_3_TEXT,Q19,Q31
11/1/19,11/1/19,IP Address,174.220.3.115,100,769,TRUE,11/1/19,R_1r1AUWG4QaiD2ce,,,,,41.55960083,-74.17639923,anonymous,EN,30,70,0,0,,20,80,0,0,,0,100,0,0,,100,0,0,,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,"Do species with large effective population size have unexpected outcomes for population genetic processes?,How and which dispersal traits are evolving in response to environmental change?,What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?","What are the reasons for genetic divergence in the sea within and/or among species?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?,When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?","What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,What oceanographic and biological processes contribute to genetic load, and how does the geographic distribution of load affect adaptation?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?",,,,,,,2,,,1,3,,,,,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,1,3,,,2,,,,,,,,,,1,2,4,5,3,,Masters,20-29,Female,,6,United States of America
11/1/19,11/1/19,IP Address,171.66.12.142,100,810,TRUE,11/1/19,R_3Mflxl7so6GI46e,,,,,37.42300415,-122.1638947,anonymous,EN,20,75,5,0,,0,50,50,0,,0,100,0,0,,80,20,0,,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Not important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,"How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?","When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?",Under what conditions will evolutionary processes accelerate (e.g.  mutational meltdowns or Allee effects) or prevent (e.g. evolutionary rescue) extinctions?,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,3,4,5,1,,Bachelors,20-29,Male,,3,United States of America
11/1/19,11/1/19,IP Address,129.2.180.200,100,432,TRUE,11/1/19,R_2rHi64ANFvgzvWs,,,,,38.98959351,-76.9457016,anonymous,EN,20,80,0,0,,0,70,30,0,,0,100,0,0,,100,0,0,,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,"How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,What are the reasons for genetic divergence in the sea within and/or among species?,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?","What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?,Under what conditions does the evolved plastic response predict the evolutionary response?","For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?",2,,,,,,,,,,,,1,,3,,,,,,,,,,,,2,,1,,,,,,,,,,,,3,,,,2,3,,,,,1,,,,,,,,,,,,,1,3,5,4,2,,PhD,30-39,Male,,9,United States of America
11/1/19,11/1/19,IP Address,128.62.36.11,100,819,TRUE,11/1/19,R_1K6BHSpKFWptmUe,,,,,30.28869629,-97.7397995,anonymous,EN,40,55,5,0,,0,100,0,0,,0,100,0,0,,90,10,0,,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Not important,Not important,Very important,Very important,Very important,Not important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not important,"What are the reasons for genetic divergence in the sea within and/or among species?,At spatial scales below the dispersal distance, how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation)?,How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?","Do species with large effective population size have unexpected outcomes for population genetic processes?,When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?","How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?,Under what conditions will evolutionary processes accelerate (e.g.  mutational meltdowns or Allee effects) or prevent (e.g. evolutionary rescue) extinctions?",1,,,,,,,,,,,,,,,,3,,2,,,,,,,2,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,2,5,3,4,What are the consequences of enormous population sizes and enormous fecundity (as seen in many marine species) for the evolutionary process?,PhD,50-59,Male,,20,United States of America
11/1/19,11/1/19,IP Address,134.121.33.143,100,693,TRUE,11/1/19,R_sLRxpRRVz7D5huN,,,,,46.73129272,-117.1795959,anonymous,EN,20,40,0,40,Physiology,0,100,0,0,,5,95,0,0,,95,5,0,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,"What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times?","Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?","For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?",,,,2,,,,1,,,,,,3,,,,,,,,,,3,,,,,,,,,,2,,,1,,,,,,,,,,,3,,,1,,2,,,,,,,,,,,1,2,4,5,3,,PhD,20-29,Female,,5,United States of America
11/1/19,11/1/19,IP Address,71.231.52.88,100,803,TRUE,11/1/19,R_3GpMePi8cQNUueI,,,,,47.69009399,-122.3746948,anonymous,EN,75,0,25,0,,0,90,10,0,,0,50,50,0,,80,20,0,,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Not important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,"How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,1,3,4,5,2,"I couldn't finish the ranking question, because I couldn't drag and drop the bottom half of the questions (it wouldn't scroll)",PhD,20-29,Female,,9,United States of America
11/1/19,11/1/19,IP Address,130.225.188.97,100,491,TRUE,11/1/19,R_zbTKb5EArr33kDD,,,,,55.67860413,12.55889893,anonymous,EN,10,80,0,10,conservation,70,30,0,0,,0,100,0,0,,90,10,0,,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,,,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,"Very important,Somewhat important","How and which dispersal traits are evolving in response to environmental change?,How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,How do microbial symbiont(s) or microbiomes affect the adaptation or acclimation of their hosts to a changing environment?","What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times?,How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?","How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?",,2,,,,,1,,,,,,,,,,,,,,3,,,3,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,3,,2,,,,,,,,,,,1,3,2,5,4,,PhD,30-39,Male,,10,Denmark
11/1/19,11/1/19,IP Address,73.186.161.159,100,2499,TRUE,11/1/19,R_3IDfMIeCz7qKoRr,,,,,42.85389709,-70.93969727,anonymous,EN,50,50,0,0,,10,45,45,0,,0,90,10,0,,80,20,0,,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Not important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,"What oceanographic and biological processes contribute to genetic load, and how does the geographic distribution of load affect adaptation?",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,3,4,5,,PhD,30-39,Female,,10,United States of America
11/1/19,11/1/19,IP Address,174.216.21.140,100,873,TRUE,11/1/19,R_3GDmkYjwgwe5Onx,,,,,47.49360657,-122.2415009,anonymous,EN,20,80,0,0,,0,0,0,100,Model systems(eg bacteria in lab),0,0,100,0,,70,30,0,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?","What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?",How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,1,3,5,2,,Bachelors,30-39,Female,,7,United States of America
11/1/19,11/1/19,IP Address,24.5.63.188,100,1278,TRUE,11/1/19,R_1cZGT4lgarpdf4O,,,,,38.03889465,-122.5870972,anonymous,EN,90,0,10,0,,0,100,0,0,,25,75,0,0,,100,0,0,,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?,What are the reasons for genetic divergence in the sea within and/or among species?","What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,Under what conditions does the evolved plastic response predict the evolutionary response?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?","For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,What oceanographic and biological processes contribute to genetic load, and how does the geographic distribution of load affect adaptation?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?",3,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,3,,,,2,,,,,3,,,,,1,,,2,,,,,,,,,,3,2,4,5,1,,Masters,20-29,Female,,10,United States of America
